velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.006583,0.028627,0.019310,0.000000,0.000000,0.000000,0.000000,-0.103044,0.053496,-49.302814,49.302185,50.193508,49.253578,0.109111,0.000000,0.000000,49.752239,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
0.006185,0.030452,0.017687,0.000000,0.000000,0.000000,0.000000,-0.104009,0.053842,-49.302116,49.297977,50.383755,49.253578,0.109709,0.000000,0.000000,50.362614,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
0.006202,0.031622,0.018574,0.000000,0.000000,0.000000,0.000000,-0.103878,0.054444,-49.297676,49.302845,50.455097,49.253578,0.108606,0.000000,0.000000,50.494732,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
0.005587,0.031411,0.021038,0.000000,0.000000,0.000000,0.000000,-0.103753,0.055081,-49.304676,49.307003,50.106308,49.253578,0.109283,0.000000,0.000000,50.365257,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
0.004037,0.029526,0.024298,0.000000,0.000000,0.000000,0.000000,-0.103633,0.055715,-49.306984,49.306599,49.879070,49.253578,0.109995,0.000000,0.000000,50.085171,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.000820,0.027797,0.026140,0.000000,0.000000,0.000000,0.000000,-0.103531,0.056313,-49.308617,49.311573,50.412819,49.253578,0.109111,0.000000,0.000000,49.963623,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.000074,0.030697,0.025636,0.000000,0.000000,0.000000,0.000000,-0.104658,0.056366,-49.312962,49.317795,50.322979,49.253578,0.109959,0.000000,0.000000,50.359974,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.002443,0.033534,0.026431,0.000000,0.000000,0.000000,0.000000,-0.104658,0.056957,-49.317886,49.316547,50.624203,49.253578,0.109063,0.000000,0.000000,50.299198,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.006506,0.036141,0.028176,0.000000,0.000000,0.000000,0.000000,-0.104681,0.057602,-49.317749,49.324482,50.013828,49.253578,0.109916,0.000000,0.000000,50.352047,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010145,0.037961,0.029087,0.000000,0.000000,0.000000,0.000000,-0.104777,0.058298,-49.326157,49.323795,49.900208,49.253578,0.110840,0.000000,0.000000,49.865860,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.012858,0.036884,0.029318,0.000000,0.000000,0.000000,0.000000,-0.104957,0.059049,-49.321358,49.316441,49.617481,49.253578,0.109819,0.000000,0.000000,49.786591,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
